Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2023-01-02,14.102606773376465,14.650220707886819,14.028770619687522,14.484091415861936,78424700
2023-01-03,13.745733261108398,14.213359060268516,13.616520297884257,14.114911647138568,96750300
2023-01-04,14.182595252990723,14.514856193323205,13.431933342233977,13.511921435136678,129504000
2023-01-05,14.693293571472168,14.7917421827482,14.24412699031328,14.361033762664919,73886000
2023-01-06,14.607149124145508,14.964021300188007,14.490242377666792,14.730208980816343,51851500
2023-01-09,14.68713665008545,14.767124725973462,14.30565207828679,14.459476294182348,46385200
2023-01-10,14.822504043579102,14.834810264591873,14.379490649391776,14.736362843661357,52741100
2023-01-11,14.939408302307129,15.1486093302606,14.797889131454626,14.859419052661936,53536500
2023-01-12,15.154763221740723,15.167069442287318,14.83480970262972,14.945563340377515,58130000
2023-01-13,15.117844581604004,15.173221396257812,14.920949762206334,15.037856501318338,40002700
2023-01-16,14.791736602783203,15.074772585974292,14.66252365606749,15.0193957764655,31973700
2023-01-17,15.70237922668457,15.763909159462179,14.834810577919251,14.834810577919251,91797500
2023-01-18,15.425493240356445,16.016178880178455,15.38242264472493,15.899272139474546,69692900
2023-01-19,15.930036544799805,15.966955204197156,15.25321088604837,15.382422673181956,75553300
2023-01-20,16.225379943847656,16.366897950708818,15.640847413127954,15.930036536746725,114219500
2023-01-23,16.48380470275879,16.982194868852233,16.077707664417574,16.1638500294406,87678100
2023-01-24,16.36689567565918,16.93912190704475,16.22537768846946,16.90220325279787,65794000
2023-01-25,16.576099395751953,16.662240589224588,16.003873070916335,16.336132798300593,51832900
2023-01-26,16.15154457092285,16.73607712959056,15.874660480272723,16.668394091079243,73344800
2023-01-27,15.763908386230469,16.139238727950524,15.653154747380492,16.108474349863663,47681900
2023-01-30,15.84389591217041,16.040790741557643,15.696224790129987,15.905425839750361,40683200
2023-01-31,16.04079246520996,16.12693366892668,15.702379587534953,15.770061458918425,54048900
2023-02-01,15.819286346435547,16.293065349236308,15.659310148676349,16.04079365654208,56349200
2023-02-02,15.087081909179688,15.880814386170343,15.025551977776065,15.696225765545305,83823000
2023-02-03,15.253211975097656,15.616236096405101,15.025551586902347,15.09938773738309,71170700
2023-02-06,15.862359046936035,15.917735877680949,15.228602635958698,15.302438801480598,82794500
2023-02-07,15.763908386230469,16.083861908525535,15.665459794463757,15.942343891588699,55311800
2023-02-08,16.028484344482422,16.090014271383513,15.7269889936114,15.87466011402257,48713100
2023-02-09,15.954649925231934,16.194615357536726,15.86850872872986,16.0284849012092,38198300
2023-02-10,16.440732955932617,16.483804725295876,15.954649008975837,15.985413384935306,54683100
2023-02-13,16.489957809448242,16.545334628898516,16.225381106457345,16.42227594290908,36726900
2023-02-14,16.42842674255371,16.64993281561372,16.366896821420404,16.52072103746085,35839000
2023-02-15,16.453039169311523,16.48995665516558,16.18230820134842,16.354591757976888,72554100
2023-02-16,16.520723342895508,16.582253272615194,16.29921606533896,16.366899105389194,44115700
2023-02-17,16.268451690673828,16.40996970754864,16.22538109193678,16.40996970754864,61085700
2023-02-22,15.850051879882812,16.06540607844583,15.806981274887404,15.997723028546774,38608500
2023-02-23,16.336130142211914,16.483802412134622,15.856199372512544,15.856199372512544,73913400
2023-02-24,15.936190605163574,16.428428864214837,15.917732447949733,16.40996953341521,64409100
2023-02-27,16.09001350402832,16.453038764487253,15.880812466693149,15.899271795958848,76250600
2023-02-28,15.530094146728516,16.56379316188333,15.530094146728516,16.12693173766602,130248100
2023-03-01,15.567011833190918,15.64700109116342,14.884033040086388,15.573164943310784,109257700
2023-03-02,15.160916328430176,15.794672603400643,14.99478704543354,15.64084836736191,124516200
2023-03-03,15.813131332397461,15.837742598962391,15.044010181475128,15.277822494977793,87591800
2023-03-06,15.97310733795166,16.071555923975787,15.61008323807615,15.81313117292856,50227400
2023-03-07,15.443953514099121,15.862355623385982,15.339352986777405,15.825436961800118,59052500
2023-03-08,15.640847206115723,15.948495655351998,15.462410542237546,15.474716761867565,66220400
2023-03-09,15.573165893554688,16.13923914967971,15.554707735654567,15.597778335535954,68042300
2023-03-10,15.370116233825684,15.739294607425599,15.345504968164727,15.480869863264228,48118600
2023-03-13,14.884035110473633,15.29628415716294,14.828658285277612,15.105541237671796,58605500
2023-03-14,14.61945629119873,15.216293935452665,14.521008868921502,14.93941100039265,58916700
2023-03-15,14.361030578613281,14.447171774096756,14.02876966988713,14.354877468423638,93708800
2023-03-16,14.311806678771973,14.471784020800236,14.133370006422304,14.397947873100364,66821000
2023-03-17,14.465632438659668,14.46563243865967,14.065689628136985,14.213360765549089,93502700
2023-03-20,14.108759880065918,14.551773281319031,14.08414743764782,14.465632080027389,57575200
2023-03-21,14.397948265075684,14.521008123397115,14.201053430630019,14.274889580340036,43391200
2023-03-22,14.354875564575195,14.533312215651987,14.17644008708402,14.391793047231024,46435600
2023-03-23,14.028770446777344,14.564079327063187,13.899558646396594,14.379490705494735,74711200
2023-03-24,14.02261734008789,14.231817212740951,13.831874450314686,13.97339245995101,52556800
2023-03-27,14.262582778930664,14.373336412192227,14.047228622431595,14.219512182347998,39148700
2023-03-28,14.514852523803711,14.54561689631504,14.244121586078787,14.287192177028883,29091100
2023-03-29,14.705595970153809,14.791738335919378,14.441018110074882,14.588689228205643,49148600
2023-03-30,14.748666763305664,14.939409653660652,14.570231266608172,14.92095032355302,56116900
2023-03-31,14.428714752197266,14.902492538213478,14.28104244320021,14.767127624149683,59547800
2023-04-03,15.068622589111328,15.074775699614941,14.644067353048754,14.822504036896007,73931200
2023-04-04,14.933257102966309,15.234752464502714,14.82865657560994,15.154763204625958,57505700
2023-04-05,14.982478141784668,15.093231759672205,14.317957608045011,14.884030742236984,93626400
2023-04-06,14.767125129699707,15.025549866412877,14.736360755113765,14.976326162923971,29565400
2023-04-10,15.080928802490234,15.173223112826067,14.785586539981237,14.785586539981237,41455900
2023-04-11,15.7885160446167,15.81312848032825,15.154759908070623,15.197831670565837,80565000
2023-04-12,15.905424118041992,16.090012707214992,15.49317517354237,15.985412193727457,71563400
2023-04-13,16.01618194580078,16.053099438610417,15.874662738456289,15.905428293785933,38852800
2023-04-14,16.182310104370117,16.243840037086542,15.825437902917862,15.874661614373833,38421100
